type,price,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi,kecamatan,kota
Rumah Second,117000,6,190,214,SHM,Tanah Abang,Kota Jakarta Pusat
Rumah Second,46000,4,144,250,SHM,Tanjung Priok,Kota Jakarta Utara
Rumah Second,67000,3,232,200,SHM,Pulogadung (Pulo Gadung),Kota Jakarta Timur
Rumah Second,131000,8,600,800,SHM,Ciracas,Kota Jakarta Timur
Rumah Second,35000,4,105,180,SHM,Pasar Minggu,Kota Jakarta Selatan
Rumah Second,24000,3,135,120,SHM,Pesanggrahan,Kota Jakarta Selatan
Rumah Second,13000,2,96,70,SHM,Kembangan,Kota Jakarta Barat
Rumah Second,33000,3,128,100,SHM,Tanjung Priok,Kota Jakarta Utara
Rumah Second,139000,4,307,432,SHM,Tebet,Kota Jakarta Selatan
Rumah Second,21000,4,400,1000,SHM,Cilandak,Kota Jakarta Selatan
Rumah Second,155000,6,538,800,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,13000,2,65,50,SHM,Pesanggrahan,Kota Jakarta Selatan
Rumah Second,14000,3,276,224,SHM,Kebayoran Baru,Kota Jakarta Selatan
Rumah Second,16000,4,67,99,SHM,Cilincing,Kota Jakarta Utara
Rumah Second,22000,3,90,172,HGB,Cengkareng,Kota Jakarta Barat
Rumah Second,600,2,60,45,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,680,2,60,60,SHM,Kalideres,Kota Jakarta Barat
Rumah Second,14000,3,89,120,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,59000,4,155,273,SHM,Pasar Minggu,Kota Jakarta Selatan
Rumah Second,33000,4,200,354,SHM,Cakung,Kota Jakarta Timur
Rumah Second,24000,4,93,140,SHM,Duren Sawit,Kota Jakarta Timur
Rumah Second,9000,4,398,500,SHM,Pal Merah (Palmerah),Kota Jakarta Barat
Rumah Second,75000,7,206,670,SHM,Setiabudi (Setia Budi),Kota Jakarta Selatan
Rumah Second,65000,3,250,350,SHM,Duren Sawit,Kota Jakarta Timur
Rumah Second,44000,3,340,450,SHM,Pesanggrahan,Kota Jakarta Selatan
Rumah Second,760,3,60,60,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,900,3,51,75,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,25000,3,116,125,SHM,Jagakarsa,Kota Jakarta Selatan
Rumah Second,49000,3,557,120,SHM,Pasar Minggu,Kota Jakarta Selatan
Rumah Second,21000,3,168,140,SHM,Kembangan,Kota Jakarta Barat
Rumah Second,19000,4,120,90,SHM,Pesanggrahan,Kota Jakarta Selatan
Rumah Second,14000,6,340,300,SHM,Mampang Prapatan,Kota Jakarta Selatan
Rumah Second,26000,5,459,650,SHM,Pancoran,Kota Jakarta Selatan
Rumah Second,602,2,64,50,SHM,Pasar Rebo,Kota Jakarta Timur
Rumah Second,55000,5,519,370,SHM,Ciracas,Kota Jakarta Timur
Rumah Second,7755,3,65,60,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,700,2,49,60,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,795,3,49,60,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,14000,4,169,100,SHM,Cakung,Kota Jakarta Timur
Rumah Second,23000,3,156,250,SHM,Jagakarsa,Kota Jakarta Selatan
Rumah Second,975,3,65,60,SHM,Ciracas,Kota Jakarta Timur
Rumah Second,56000,3,200,141,SHM,Kebayoran Lama,Kota Jakarta Selatan
Rumah Second,700,2,51,60,SHM,Pasar Rebo,Kota Jakarta Timur
Rumah Second,25000,4,135,125,SHM,Cakung,Kota Jakarta Timur
Rumah Second,7000,6,604,302,SHM,Ciracas,Kota Jakarta Timur
Rumah Second,775,2,49,60,SHM,Pasar Rebo,Kota Jakarta Timur
Rumah Second,795,3,65,60,SHM,Ciracas,Kota Jakarta Timur
Rumah Second,2000,3,100,155,SHM,Duren Sawit,Kota Jakarta Timur
Rumah Second,14000,6,477,477,SHM,Cilandak,Kota Jakarta Selatan
Rumah Second,800,2,51,60,SHM,Ciracas,Kota Jakarta Timur
Rumah Second,15000,2,50,68,SHM,Cipayung,Kota Jakarta Timur
Rumah Second,13000,3,120,150,SHM,Jagakarsa,Kota Jakarta Selatan
Rumah Second,13000,3,108,80,SHM,Jagakarsa,Kota Jakarta Selatan
Rumah Second,9000,4,319,500,SHM,Kebon Jeruk,Kota Jakarta Barat
Rumah Second,12000,3,77,130,SHM,Jagakarsa,Kota Jakarta Selatan
